Frequency,Power Loss,Distance,Height Difference,Peak Avg. Height Diff,Peak Avg. Dist.,Max Peak,Peak Count
0.449425,147.2,3.7854305995875985,-2.0,2.857142857142857,0.21443716325253834,18.0,15
0.449425,148.09,3.796293935015722,-1.0,3.1818181818181817,0.2739078080284776,18.0,12
0.449425,146.78,3.84555957618017,-3.0,3.4,0.30622537968333946,18.0,11
0.449425,147.76999999999998,3.856423483599247,-3.0,2.8181818181818183,0.2758839401249697,18.0,12
0.449425,147.45999999999998,3.856423483599247,-3.0,2.8181818181818183,0.2758839401249697,18.0,12
0.449425,148.69,3.8672879113364464,-1.0,3.75,0.27891595401070185,20.0,13
0.449425,152.76,3.8948250347083206,-5.0,3.0833333333333335,0.26659921809102816,18.0,13
0.449425,151.88,3.933226820134565,-5.0,3.4,0.30622537968333946,18.0,11
0.449425,152.55,3.971628839877083,-2.0,3.1666666666666665,0.3022222191863011,18.0,13
0.449425,151.8,3.971628839877083,-2.0,3.1666666666666665,0.3022222191863011,18.0,13
0.449425,149.76999999999998,4.010031093934972,-1.0,2.9285714285714284,0.2590481018391124,18.0,15
0.449425,150.11,4.048433582307328,-6.0,2.8125,0.22598774663121995,18.0,17
0.449425,148.23000000000002,4.086836304993249,-4.0,2.5625,0.23386713095948622,18.0,17
